Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,All_NBA_Pos,Win_Prop
Damian Jones,C,24,ATL,55,27,887,6.4,9.4,0.68,0.1,0.5,0.222,6.3,8.9,0.7040000000000001,3.3,4.4,0.738,3.9,6.9,10.8,1.8,1.4,2.1,1.5,7.8,16.1,138.0,113,Center,0.02059732234809475
Derrick Jones Jr.,SF,22,MIA,51,15,1249,6.5,12.7,0.514,1.3,4.9,0.27,5.2,7.7,0.67,3.4,4.4,0.779,2.2,6.1,8.3,2.2,2.1,1.4,1.1,4.5,17.8,124.0,108,Forward,0.042224510813594233
Tyus Jones,PG,23,MEM,65,6,1232,7.5,16.3,0.45899999999999996,1.8,4.7,0.379,5.7,11.6,0.49200000000000005,1.6,2.2,0.741,0.3,3.6,3.9,10.8,2.2,0.2,2.1,1.7,18.3,116.0,112,Guard,0.032955715756951595
DeAndre Jordan,C,31,BRK,56,6,1234,7.3,11.0,0.6659999999999999,0.0,0.0,0.0,7.3,11.0,0.6659999999999999,3.2,4.7,0.68,5.4,16.1,21.6,4.0,0.7,2.0,2.8,4.4,17.9,128.0,104,Center,0.030895983522142123
Cory Joseph,PG,28,SAC,64,22,1538,4.9,11.7,0.42,1.5,4.2,0.35100000000000003,3.4,7.5,0.46,1.5,1.8,0.828,1.2,4.0,5.2,6.9,1.5,0.7,2.0,3.8,12.8,111.0,114,Guard,0.028836251287332648
Mfiondu Kabengele,C,22,LAC,12,0,64,10.3,23.6,0.43799999999999994,6.6,14.7,0.45,3.7,8.8,0.41700000000000004,3.7,3.7,1.0,0.7,7.4,8.1,1.5,1.5,1.5,1.5,6.6,30.9,119.0,106,Center,0.04531410916580844
Frank Kaminsky,C,26,PHO,32,13,718,8.4,18.4,0.455,2.6,7.4,0.348,5.8,11.0,0.527,3.9,5.8,0.67,2.0,8.4,10.4,4.7,0.9,0.7,2.2,4.6,23.2,111.0,113,Center,0.026776519052523172
Enes Kanter,C,27,BOS,51,6,891,9.6,16.9,0.5660000000000001,0.1,0.4,0.14300000000000002,9.5,16.5,0.5760000000000001,3.4,4.8,0.708,7.7,13.7,21.4,2.7,1.1,2.1,2.8,4.6,22.6,121.0,103,Center,0.044284243048403706
Luke Kennard,SG,23,DET,28,25,922,8.1,18.2,0.442,3.9,9.8,0.39899999999999997,4.2,8.5,0.491,3.6,4.0,0.893,0.5,4.7,5.2,6.1,0.6,0.3,2.3,3.5,23.6,117.0,117,Guard,0.02059732234809475
Stanton Kidd,SF,27,UTA,4,0,15,0.0,9.8,0.0,0.0,3.3,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,9.8,9.8,3.3,0.0,0.0,6.5,9.8,0.0,13.0,112,Forward,0.042224510813594233
Michael Kidd-Gilchrist,PF-SF,26,TOT,21,0,231,4.1,12.9,0.317,1.1,4.3,0.25,3.0,8.6,0.35,1.9,2.4,0.818,2.6,9.2,11.8,2.8,0.4,1.1,2.8,6.9,11.2,84.0,113,Forward,0.03333333333333334
Louis King,SF,20,DET,10,0,62,6.3,16.7,0.381,3.2,8.7,0.364,3.2,7.9,0.4,0.0,2.4,0.0,0.8,7.1,7.9,4.0,1.6,0.0,1.6,7.9,15.9,93.0,113,Forward,0.02059732234809475
Maxi Kleber,C,28,DAL,66,21,1695,6.1,13.3,0.45899999999999996,3.1,8.2,0.374,3.1,5.1,0.594,2.0,2.3,0.863,2.8,7.3,10.1,2.2,0.6,2.2,1.4,4.4,17.3,123.0,111,Center,0.0411946446961895
Brandon Knight,PG,28,TOT,25,3,462,6.2,17.7,0.353,4.8,13.9,0.344,1.5,3.8,0.389,2.1,3.6,0.588,0.4,3.9,4.3,7.3,1.1,0.3,4.0,4.2,19.4,98.0,117,Guard,0.03333333333333334
Kevin Knox,SF,20,NYK,65,4,1166,6.0,16.7,0.359,2.7,8.3,0.327,3.3,8.4,0.391,2.8,4.2,0.653,1.2,6.5,7.7,2.5,1.0,1.2,1.9,4.4,17.5,97.0,114,Forward,0.021627188465499485
John Konchar,SG,23,MEM,15,0,167,6.4,9.8,0.657,1.1,2.5,0.444,5.3,7.3,0.731,0.3,0.6,0.5,5.0,7.8,12.9,5.9,2.0,0.8,1.7,2.0,14.3,143.0,110,Guard,0.032955715756951595
Furkan Korkmaz,SG,22,PHI,64,12,1398,7.7,17.9,0.43200000000000005,4.4,11.0,0.397,3.3,6.8,0.48700000000000004,1.8,2.5,0.736,0.6,4.6,5.1,2.4,1.3,0.5,1.8,3.1,21.7,109.0,111,Guard,0.04016477857878476
Luke Kornet,C,24,CHI,36,14,559,7.1,16.1,0.439,2.7,9.3,0.287,4.4,6.8,0.6459999999999999,1.7,2.4,0.7140000000000001,1.9,5.3,7.2,2.8,0.9,2.2,1.2,4.7,18.5,112.0,111,Center,0.02265705458290422
Kyle Korver,SF,38,MIL,50,0,833,6.1,14.2,0.429,4.7,11.4,0.415,1.4,2.9,0.48100000000000004,1.5,1.9,0.8240000000000001,0.8,4.9,5.7,3.3,1.2,0.7,2.3,3.7,18.4,112.0,105,Forward,0.05458290422245108
Rodions Kurucs,PF,21,BRK,39,4,501,5.7,12.7,0.44799999999999995,2.4,6.2,0.385,3.3,6.5,0.507,1.6,2.7,0.607,1.7,7.5,9.2,3.1,1.6,0.3,3.3,6.3,15.3,99.0,109,Forward,0.030895983522142123
Kyle Kuzma,PF,24,LAL,54,7,1327,9.1,21.1,0.43200000000000005,2.5,8.5,0.297,6.6,12.6,0.523,3.4,4.7,0.738,1.7,7.0,8.7,2.5,0.8,0.8,3.0,3.8,24.2,100.0,109,Forward,0.05046343975283213
Skal Labissière,C,23,POR,33,1,567,6.8,12.4,0.551,0.3,1.1,0.231,6.6,11.3,0.5820000000000001,2.1,2.8,0.758,5.5,8.7,14.2,3.5,0.6,2.6,2.5,7.5,16.0,121.0,113,Center,0.029866117404737384
Jeremy Lamb,SG,27,IND,46,42,1291,8.2,18.1,0.451,2.0,6.0,0.335,6.2,12.1,0.508,3.5,4.2,0.836,0.9,6.6,7.5,3.6,2.1,0.8,1.9,3.9,21.8,108.0,108,Guard,0.04016477857878476
Romeo Langford,SG,20,BOS,27,1,298,3.9,10.4,0.375,0.8,3.7,0.217,3.1,6.7,0.46299999999999997,2.6,3.7,0.696,2.3,2.9,5.2,1.0,1.3,1.0,1.5,4.7,11.2,98.0,110,Guard,0.044284243048403706
Zach LaVine,SG,24,CHI,60,60,2085,12.5,27.7,0.45,4.3,11.2,0.38,8.2,16.5,0.49700000000000005,6.2,7.7,0.802,0.9,5.7,6.7,5.9,2.0,0.6,4.8,3.0,35.3,106.0,110,Guard,0.02265705458290422
Vic Law,SF,24,ORL,5,0,9,0.0,16.3,0.0,0.0,5.4,0.0,0.0,10.8,0.0,0.0,10.8,0.0,0.0,5.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,Forward,0.030895983522142123
Jake Layman,PF,25,MIN,23,2,505,7.4,16.5,0.45299999999999996,2.2,6.6,0.33299999999999996,5.2,9.8,0.5329999999999999,2.2,2.9,0.75,1.6,3.7,5.2,1.4,1.6,0.9,2.2,4.3,19.3,102.0,114,Forward,0.01956745623069001
T.J. Leaf,PF,22,IND,25,1,193,7.6,17.4,0.435,1.3,3.5,0.35700000000000004,6.3,13.9,0.455,1.8,3.0,0.583,5.3,10.9,16.2,1.5,2.0,0.8,1.8,4.5,18.2,103.0,105,Forward,0.04016477857878476
Jalen Lecque,PG,19,PHO,4,0,26,7.3,18.2,0.4,0.0,7.3,0.0,7.3,10.9,0.667,3.6,3.6,1.0,0.0,0.0,0.0,3.6,0.0,0.0,1.8,3.6,18.2,94.0,120,Guard,0.026776519052523172
Courtney Lee,SG,34,DAL,24,9,345,5.6,11.5,0.488,2.9,6.6,0.447,2.7,4.9,0.5429999999999999,0.8,1.0,0.857,1.0,3.5,4.5,1.7,2.5,0.8,1.5,4.6,15.0,117.0,110,Guard,0.0411946446961895
Damion Lee,SG,27,GSW,49,36,1423,7.2,17.2,0.41700000000000004,2.9,8.0,0.35600000000000004,4.3,9.1,0.47100000000000003,3.7,4.2,0.873,1.1,7.0,8.0,4.5,1.7,0.2,2.3,3.9,20.9,108.0,114,Guard,0.015447991761071062
Alex Len,C,26,TOT,49,9,895,8.8,15.8,0.556,0.7,2.9,0.25,8.1,12.9,0.626,3.0,4.8,0.637,5.0,10.4,15.4,2.5,1.2,2.4,2.6,6.0,21.4,116.0,111,Center,0.03333333333333334
Kawhi Leonard,SF,28,LAC,51,51,1643,13.7,29.2,0.469,3.1,8.4,0.366,10.6,20.8,0.51,8.9,10.0,0.889,1.5,9.2,10.7,7.3,2.6,0.9,4.0,2.8,39.3,116.0,104,Forward,0.04531410916580844
Meyers Leonard,C,27,MIA,49,49,987,5.7,11.1,0.52,2.5,5.9,0.429,3.2,5.2,0.625,0.8,1.3,0.654,1.3,11.0,12.3,2.6,0.6,0.7,1.7,5.1,14.9,117.0,110,Center,0.042224510813594233
Caris LeVert,SG,25,BRK,39,25,1131,10.6,25.5,0.414,3.0,7.9,0.381,7.6,17.6,0.429,4.9,6.8,0.72,1.7,5.0,6.7,6.7,1.8,0.3,4.1,3.0,29.0,101.0,110,Guard,0.030895983522142123
Damian Lillard,PG,29,POR,58,58,2140,11.8,25.9,0.457,5.0,12.8,0.39399999999999996,6.8,13.1,0.518,8.7,9.8,0.888,0.7,4.9,5.6,10.1,1.3,0.5,3.7,2.2,37.3,125.0,116,Guard,0.029866117404737384
Nassir Little,PF,19,POR,48,5,573,5.4,12.6,0.43,1.2,4.9,0.237,4.2,7.7,0.5539999999999999,2.3,3.7,0.636,2.6,6.4,9.0,1.8,1.1,1.2,1.2,6.0,14.3,108.0,115,Forward,0.029866117404737384
Kevon Looney,C,23,GSW,20,4,262,5.3,14.4,0.36700000000000005,0.2,2.6,0.071,5.1,11.9,0.431,1.6,2.2,0.75,5.1,6.9,12.1,3.7,2.2,1.1,2.2,6.2,12.4,94.0,112,Center,0.015447991761071062
Brook Lopez,C,31,MIL,61,60,1622,6.9,16.1,0.42700000000000005,2.4,8.0,0.29600000000000004,4.5,8.1,0.557,2.8,3.4,0.81,1.2,6.5,7.7,2.7,1.2,4.2,1.8,4.1,18.9,106.0,99,Center,0.05458290422245108
Robin Lopez,C,31,MIL,60,4,862,7.3,14.5,0.502,1.7,5.1,0.344,5.5,9.4,0.588,1.2,2.3,0.535,2.8,5.0,7.7,2.2,0.5,2.2,2.9,4.2,17.5,104.0,104,Center,0.05458290422245108
Kevin Love,PF,31,CLE,56,56,1780,8.9,19.9,0.45,4.0,10.7,0.374,4.9,9.2,0.537,5.1,6.0,0.8540000000000001,1.5,13.5,15.0,4.9,0.9,0.5,3.8,2.5,27.0,112.0,113,Forward,0.01956745623069001
Kyle Lowry,PG,33,TOR,52,52,1901,7.8,18.6,0.41700000000000004,3.8,10.8,0.354,3.9,7.8,0.505,6.4,7.4,0.861,0.8,5.5,6.3,10.0,1.8,0.6,3.9,4.2,25.8,117.0,107,Guard,0.04737384140061792
Timothé Luwawu-Cabarrot,SG,24,BRK,39,0,671,5.5,13.6,0.406,2.8,7.7,0.358,2.8,5.9,0.47,3.7,4.4,0.8390000000000001,1.7,4.7,6.4,1.8,1.1,0.4,2.3,5.7,17.5,108.0,111,Guard,0.030895983522142123
Trey Lyles,PF,24,SAS,63,53,1271,5.8,13.0,0.446,2.5,6.3,0.387,3.3,6.6,0.503,1.2,1.7,0.733,2.7,11.0,13.6,2.6,1.1,1.1,1.5,3.7,15.3,113.0,113,Forward,0.027806385169927908
Daryl Macon,SG,24,MIA,4,0,14,3.5,10.5,0.33299999999999996,3.5,7.0,0.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,7.0,3.5,10.5,65.0,118,Guard,0.042224510813594233
J.P. Macura,SG,24,CLE,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,Guard,0.01956745623069001
Josh Magette,PG,30,ORL,8,0,38,6.4,19.3,0.33299999999999996,1.3,5.1,0.25,5.1,14.1,0.364,1.3,2.6,0.5,1.3,6.4,7.7,6.4,3.9,1.3,6.4,5.1,15.4,71.0,104,Guard,0.030895983522142123
Ian Mahinmi,C,33,WAS,38,35,808,6.0,12.1,0.495,0.3,1.5,0.192,5.7,10.6,0.5379999999999999,4.0,6.5,0.619,4.5,8.1,12.6,2.8,1.8,2.5,2.6,6.6,16.3,111.0,112,Center,0.024716786817713696
Thon Maker,C,22,DET,60,14,776,5.9,12.2,0.48200000000000004,1.4,4.1,0.344,4.5,8.2,0.55,4.6,7.0,0.664,3.4,7.2,10.6,2.7,1.6,2.5,2.9,6.5,17.8,111.0,110,Center,0.02059732234809475
Terance Mann,SG,23,LAC,35,6,271,3.8,9.4,0.40700000000000003,0.5,2.1,0.25,3.3,7.3,0.452,1.6,2.1,0.75,0.7,5.0,5.7,6.6,1.4,0.9,2.4,6.3,9.7,101.0,109,Guard,0.04531410916580844
Boban Marjanović,C,31,DAL,37,2,337,13.8,24.9,0.555,0.6,2.2,0.267,13.2,22.7,0.5820000000000001,5.2,6.8,0.7659999999999999,7.6,14.4,22.0,1.9,1.0,1.0,3.7,6.8,33.3,117.0,107,Center,0.0411946446961895
Lauri Markkanen,PF,22,CHI,50,50,1492,8.1,19.1,0.425,3.5,10.2,0.344,4.6,8.8,0.518,4.1,4.9,0.8240000000000001,1.9,8.2,10.1,2.4,1.4,0.7,2.6,3.1,23.8,108.0,110,Forward,0.02265705458290422
Caleb Martin,SF,24,CHO,18,1,317,5.8,13.3,0.44,3.2,5.8,0.541,2.7,7.4,0.36200000000000004,2.7,3.3,0.81,1.6,4.4,6.0,3.6,1.9,1.1,2.4,5.1,17.5,113.0,113,Forward,0.02368692070030896
Cody Martin,SF,24,CHO,48,3,903,4.9,11.5,0.43,1.0,4.3,0.23399999999999999,3.9,7.2,0.546,2.3,3.6,0.6459999999999999,2.1,6.7,8.8,5.3,2.2,0.5,2.4,4.3,13.2,104.0,112,Forward,0.02368692070030896
Jeremiah Martin,PG,23,BRK,3,0,16,3.0,14.8,0.2,0.0,3.0,0.0,3.0,11.9,0.25,0.0,0.0,0.0,0.0,5.9,5.9,5.9,3.0,3.0,0.0,0.0,5.9,66.0,104,Guard,0.030895983522142123
Kelan Martin,SF,24,MIN,31,4,495,6.7,17.0,0.392,2.3,9.0,0.26,4.3,8.0,0.541,2.8,2.9,0.968,1.1,7.9,9.0,2.2,0.7,0.8,1.9,4.8,18.5,100.0,114,Forward,0.01956745623069001
Frank Mason III,PG,25,MIL,6,0,53,4.3,16.4,0.263,1.7,8.6,0.2,2.6,7.8,0.33299999999999996,1.7,3.4,0.5,2.6,4.3,6.9,9.5,1.7,0.0,5.2,3.4,12.1,80.0,105,Guard,0.05458290422245108
Garrison Mathews,SG,23,WAS,18,0,227,4.9,11.5,0.429,3.9,9.5,0.413,1.0,2.1,0.5,6.4,7.0,0.912,1.2,3.7,4.9,2.1,1.6,0.2,1.6,6.6,20.2,133.0,118,Guard,0.024716786817713696
Wesley Matthews,SG,33,MIL,62,62,1529,4.8,12.0,0.397,3.0,8.3,0.365,1.7,3.7,0.46799999999999997,1.4,1.9,0.762,0.6,4.2,4.8,2.7,1.1,0.3,1.2,2.7,14.0,109.0,106,Guard,0.05458290422245108
Patrick McCaw,SF,24,TOR,37,12,908,3.5,8.5,0.414,1.2,3.7,0.324,2.3,4.8,0.484,0.7,0.9,0.722,1.0,3.5,4.5,4.2,2.0,0.2,1.5,3.2,8.9,105.0,108,Forward,0.04737384140061792
CJ McCollum,SG,28,POR,62,62,2229,11.7,25.9,0.45299999999999996,3.7,9.8,0.38,8.0,16.1,0.49700000000000005,2.6,3.5,0.75,0.9,4.6,5.4,5.7,1.0,0.8,2.5,3.4,29.8,111.0,117,Guard,0.029866117404737384
T.J. McConnell,PG,27,IND,63,3,1188,7.7,14.8,0.517,0.2,0.6,0.33299999999999996,7.5,14.2,0.524,1.2,1.5,0.833,1.3,5.4,6.7,13.0,1.8,0.5,3.5,2.8,16.8,113.0,110,Guard,0.04016477857878476
Jalen McDaniels,PF,22,CHO,16,0,293,5.6,12.0,0.47100000000000003,1.5,4.1,0.375,4.1,7.9,0.522,2.4,2.9,0.8240000000000001,2.6,8.5,11.1,2.2,1.4,0.5,1.9,6.2,15.2,112.0,113,Forward,0.02368692070030896
Doug McDermott,PF,28,IND,62,0,1242,9.5,19.3,0.491,4.6,10.4,0.445,4.8,8.9,0.544,1.7,2.0,0.8270000000000001,0.9,5.2,6.1,2.7,0.4,0.2,1.6,4.2,25.2,118.0,113,Forward,0.04016477857878476
JaVale McGee,C,32,LAL,61,61,1023,8.4,13.2,0.64,0.1,0.3,0.5,8.3,12.9,0.643,2.3,3.5,0.653,5.2,11.3,16.5,1.6,1.4,4.3,2.2,6.7,19.3,126.0,100,Center,0.05046343975283213
Rodney McGruder,SG,28,LAC,50,3,749,3.8,9.8,0.391,1.4,5.0,0.278,2.5,4.8,0.506,0.9,1.8,0.536,1.6,6.4,8.1,1.9,1.4,0.5,1.3,4.2,10.0,99.0,108,Guard,0.04531410916580844
Alfonzo McKinnie,SF,27,CLE,40,1,593,6.0,14.0,0.42700000000000005,1.1,5.3,0.215,4.8,8.7,0.557,1.8,2.5,0.71,3.0,6.2,9.3,1.1,1.9,0.7,2.1,5.9,14.9,99.0,115,Forward,0.01956745623069001
Jordan McLaughlin,PG,23,MIN,30,2,590,6.8,14.0,0.489,2.3,6.0,0.382,4.6,8.0,0.569,2.0,3.1,0.667,0.6,3.3,3.9,9.8,2.7,0.3,2.4,2.4,18.0,121.0,113,Guard,0.01956745623069001
Ben McLemore,SG,26,HOU,63,19,1437,6.8,15.2,0.445,5.0,12.6,0.395,1.8,2.6,0.688,1.5,2.0,0.758,0.6,3.8,4.5,1.7,1.2,0.4,1.5,4.2,20.0,118.0,114,Guard,0.0411946446961895
Jordan McRae,SG,28,TOT,37,4,784,8.9,22.0,0.40700000000000003,2.7,7.6,0.35700000000000004,6.2,14.4,0.433,5.0,6.5,0.7609999999999999,1.1,6.4,7.4,5.6,1.3,1.0,2.6,4.4,25.6,105.0,116,Guard,0.03333333333333334
Nicolò Melli,C,29,NOP,52,6,889,6.4,14.4,0.442,3.4,9.4,0.361,3.0,5.1,0.5920000000000001,2.3,3.1,0.733,1.9,6.2,8.2,3.5,1.6,1.0,2.2,5.5,18.5,114.0,112,Center,0.028836251287332648
De'Anthony Melton,PG,21,MEM,52,8,1011,6.8,16.3,0.419,1.7,5.4,0.316,5.1,10.9,0.47,4.0,4.9,0.821,1.7,7.2,8.9,7.3,3.0,0.8,3.6,4.2,19.4,105.0,108,Guard,0.032955715756951595
Chimezie Metu,PF,22,SAS,16,0,73,13.2,23.0,0.5710000000000001,0.0,0.7,0.0,13.2,22.4,0.588,3.9,5.3,0.75,6.6,10.5,17.1,3.9,0.7,2.6,3.3,2.6,30.3,117.0,112,Forward,0.027806385169927908
Khris Middleton,SF,28,MIL,55,52,1653,11.7,23.5,0.499,3.7,8.8,0.418,8.0,14.7,0.547,4.9,5.4,0.9079999999999999,1.1,8.3,9.4,6.2,1.4,0.2,3.1,3.4,32.0,119.0,103,Forward,0.05458290422245108
Eric Mika,PF,25,SAC,1,0,19,5.1,7.7,0.667,0.0,0.0,0.0,5.1,7.7,0.667,5.1,5.1,1.0,5.1,12.8,18.0,0.0,0.0,0.0,0.0,12.8,15.4,173.0,113,Forward,0.028836251287332648
C.J. Miles,SG,32,WAS,10,0,161,5.5,17.1,0.322,3.2,10.1,0.314,2.3,7.0,0.33299999999999996,4.3,5.8,0.75,1.2,2.3,3.5,3.5,2.9,1.2,1.2,4.1,18.6,103.0,115,Guard,0.024716786817713696
Malcolm Miller,SF,26,TOR,25,1,125,3.1,9.2,0.33299999999999996,2.3,7.3,0.316,0.8,1.9,0.4,0.4,2.3,0.16699999999999998,0.4,5.0,5.3,3.1,1.5,0.8,1.1,4.6,8.8,91.0,108,Forward,0.04737384140061792
Patty Mills,PG,31,SAS,63,1,1430,8.3,19.3,0.429,5.0,13.1,0.38,3.3,6.3,0.529,3.1,3.6,0.861,0.6,2.7,3.3,3.8,1.7,0.2,1.7,3.3,24.7,115.0,117,Guard,0.027806385169927908
Paul Millsap,PF,34,DEN,44,41,1075,8.6,17.8,0.486,2.2,5.0,0.44,6.4,12.8,0.504,4.8,5.8,0.833,4.0,7.9,11.9,3.2,1.7,1.3,2.8,5.8,24.3,117.0,108,Forward,0.044284243048403706
Shake Milton,SG,23,PHI,32,16,611,8.6,17.3,0.498,3.8,8.4,0.45299999999999996,4.8,8.8,0.541,3.1,4.1,0.765,0.9,4.5,5.4,5.6,1.5,0.5,3.0,5.5,24.1,117.0,110,Guard,0.04016477857878476
Donovan Mitchell,SG,23,UTA,63,63,2165,12.6,27.8,0.45299999999999996,3.5,9.6,0.364,9.1,18.2,0.501,5.6,6.5,0.8590000000000001,1.0,5.2,6.2,5.9,1.5,0.3,3.8,3.5,34.3,110.0,111,Guard,0.042224510813594233
Naz Mitrou-Long,SG,26,IND,3,0,43,6.8,18.1,0.375,2.3,12.5,0.182,4.5,5.7,0.8,0.0,0.0,0.0,0.0,6.8,6.8,7.9,1.1,1.1,2.3,1.1,15.9,94.0,109,Guard,0.04016477857878476
Adam Mokoka,SG,21,CHI,11,0,112,5.2,12.0,0.429,2.6,6.5,0.4,2.6,5.6,0.462,0.9,1.7,0.5,3.0,1.3,4.3,1.7,1.7,0.0,0.9,7.3,13.8,115.0,114,Guard,0.02265705458290422
Malik Monk,SG,21,CHO,55,1,1169,9.1,20.9,0.434,2.5,8.7,0.284,6.6,12.2,0.542,3.5,4.3,0.82,1.2,5.6,6.7,4.9,1.1,0.7,3.3,3.2,24.2,102.0,115,Guard,0.02368692070030896
Matt Mooney,SG,22,CLE,4,0,19,2.6,10.2,0.25,0.0,5.1,0.0,2.6,5.1,0.5,0.0,0.0,0.0,0.0,7.7,7.7,2.6,5.1,2.6,0.0,2.6,5.1,69.0,104,Guard,0.01956745623069001
E'Twaun Moore,SG,30,NOP,51,5,958,8.4,19.8,0.424,2.9,7.7,0.375,5.5,12.1,0.456,1.4,2.1,0.674,1.4,4.5,5.9,3.5,1.4,0.5,1.8,3.7,21.1,104.0,114,Guard,0.028836251287332648
Ja Morant,PG,20,MEM,59,59,1771,10.4,21.1,0.491,1.3,3.7,0.36700000000000005,9.0,17.4,0.517,5.4,7.0,0.77,1.2,4.3,5.5,10.8,1.4,0.4,5.0,2.4,27.4,110.0,113,Guard,0.032955715756951595
